query_id,org_id
18,1273726579
18,1320106601
18,1404471114
18,1546866711
18,1191854170
18,1683414677
18,1249725923
18,1384091744
18,1148217246
18,1780324002
18,1208466097
18,1304896062
18,1727267662
18,1034116761
18,1017747755
18,1280520117
18,1003189749
18,1493429802
18,1281046703
18,1138653811
18,1267351477
18,1181948771
18,1320059560
18,1282648972
18,1706160153
18,1220448649
79,1016154950
79,1636016725
79,1054927928
79,1663692686
79,1145492384
100,1129802702
100,1051296515
100,1065015976
128,1226198349
128,1176327055
128,1240541126
128,1383438964
147,1290176555
147,1702202249
147,1181264175
147,1244643592
147,1198204653
147,1198991829
147,1349886921
147,1365474192
147,1170247082
147,1150439779
147,121478256889
147,1233696236
147,1184946660
147,1231371208
147,1091632793
147,1127490619
147,1091479390
147,1261638171
147,1517560714
147,1013850537
147,1021392832
147,1777460017
147,1138547710
147,1104107845
147,1203877467
147,1255102015
147,1101640816
147,1241221867
147,1002399844
147,1232685674
147,1694860703
147,1109074139
147,1014695175
147,1045499118
147,1178395270
147,1153696821
147,1031267974
147,1020772888
147,1265153989
147,1382053935
147,1608652201
147,1378987952
147,1264385920
147,1121680201
147,1132586057
147,1111778916
147,1069544317
147,1250992535
200,1077860546
200,1014165179
200,1381459175
200,1204926715
200,1148289953
200,1050306897
200,1263540517
200,1032113208
200,1134396701
200,1118802847
200,1044864587
200,1088783074
200,1109529000
200,1090990583
200,1153306231
200,1118189892
200,1222424736
200,1148012246
200,1055305851
200,1007818446
200,1621152467
200,1202078887
200,1051578856
200,1120807601
200,1174327803
200,1119890852
200,1064758001
200,1249134311
200,1032411460
200,1338960650
200,1215773570
200,1045699980
200,1003584830
200,1073268662
200,1051554094
200,1051257664
200,1102078077
200,1534654997
200,1149856846
275,1082100690
275,1137461118
275,1103865673
275,1165767854
275,1006609086
275,1010210817
275,1094898705
275,1750358834
275,1238789153
275,1531190701
275,1239245632
275,1192852812
275,1291699448
275,1037624140
300,1169331278
300,1771375325
300,1072008988
300,1260323921
300,1032089484
300,1134250680
300,1222862781
300,1394333610
300,1104871750
300,1112858143
300,1253413471
300,1327753325
300,1246421264
300,1256684344
300,1191996002
300,1123543582
300,1092274967
300,1092838115
300,1228943468
300,1021643623
301,1153410143
301,1122105573
301,1174147552
301,1136160306
301,1179704461
301,1142090853
301,1112371997
301,1032987407
301,1414492544
301,1206460862
301,1177022458
301,1251417607
301,1414602000
301,1211709454
301,1181357514
301,1372421209
321,1359154756
321,1177750869
321,1101235138
321,1309978033
321,1250568419
321,1197515780
321,1035944631
321,1162654899
321,1225273348
321,1120523811
321,1209983785
321,1238647168
321,1106281020
321,1168938598
321,1139117763
321,1257241787
321,1137177833
321,1212777647
321,1374244847
321,1199475849
321,1264974435
387,1250321864
387,1179437762
387,1325916686
387,1217530255
387,1350371193
387,1366684509
387,1204960945
387,1179316687
387,1336597583
387,1170619731
387,1153899833
387,1212556806
387,1285982615
387,1314035662
387,1316830835
387,1272261508
387,1253796629
387,1376094054
387,1008992911
387,1131166204
387,1348435850
387,1110395728
387,1121656510
387,1286830766
387,1573713211
387,1145588204
387,1339315391
387,1106377197
387,1047746874
387,1292040529
387,1167974872
387,1273183994
408,1365547396
408,1052330073
408,1178139353
408,1739125246
408,1200949577
408,1011445630
408,1132737824
408,1051255982
408,1708222169
408,1077786485
408,1117399468
408,1037890090
408,1004375431
408,1222209561
408,1072285818
408,1267849323
408,1033719333
408,1520101540
408,1010530275
408,1195001400
408,1347558774
408,1318421732
408,1155197098
408,1022878108
408,1004212595
408,1062460135
408,1158231883
408,1768182595
408,1107782712
408,1139566082
408,1135388930
408,1005842618
408,1044403767
408,1258933104
408,1153661063
452,1693144412
452,1162154556
452,1233922134
452,1152985096
452,1210966941
452,1216813251
452,1711830563
452,1249730829
452,1301738784
452,1110401061
452,1206456291
452,1141251631
452,1146119872
452,1204752660
452,1674041760
452,1149039813
452,1236514136
452,1397272424
452,1144608758
457,1387674498
457,1061739275
457,1047407096
457,1121160260
457,1212810580
457,1203119878
457,1365866253
457,1189680987
457,1324467687
595,1236176022
595,1114034940
595,1262416208
595,1093930249
595,1083519623
595,1164910748
595,1133777304
595,1235290218
595,1200198747
595,1252730517
595,1223620242
595,1326780488
595,1062297009
595,1656756646
595,1150624249
595,1132137113
595,1267710018
609,1132586057
609,1163847815
609,1012090855
609,1014973388
609,1323538915
609,1186994663
609,1065858532
609,1180197860
609,1166290063
609,1240250447
609,1245206252
609,1002200660
609,1263004571
609,1318454055
609,1114902429
609,1013196736
609,1143495029
609,1262108589
609,1265153989
609,1245788671
609,1187946141
609,1023465973
609,1066474674
609,1182229102
630,1371631034
630,1394704942
630,1025858764
630,1255404180
630,1335209809
630,1183186467
630,1087005798
