mid,radiant_won
3,0.6362332006318816
7,0.649110063630937
9,0.29162914702111803
10,0.5138106707510491
12,0.4434091141300748
13,0.18582808389373323
14,0.5397769251059055
15,0.4538554432973402
16,0.3471830127591451
17,0.2222915654395909
18,0.5577369208517701
19,0.5215473565947716
21,0.5534140854770017
22,0.8810451961209455
23,0.6988610726797531
24,0.6838873010274078
25,0.7576762030385363
29,0.5921367074553138
32,0.825824799810392
33,0.7564158107057047
34,0.7728160783784893
36,0.29811388063711175
38,0.8160706244282453
39,0.560258492994887
40,0.5537711515859388
41,0.638482058333205
42,0.5733660989072706
44,0.5708852695037763
45,0.9045414559417002
46,0.5624101851010822
47,0.5437977478128391
50,0.5552044765991141
51,0.09125083949103817
54,0.35684129720044816
60,0.39007886251271384
72,0.30210205565502535
75,0.6643913718897689
78,0.5870437691312114
80,0.16309568067236613
86,0.40862717331411674
87,0.7563482826421892
89,0.3237911158906562
91,0.6677413680360886
94,0.4898620075188271
103,0.3492673865118413
105,0.5375149390184857
106,0.34097183895948885
108,0.5319534783105805
109,0.7544671406538668
112,0.43075499655420096
114,0.48542568350158544
115,0.3182861960732563
116,0.44370574622761355
118,0.43115893507488484
123,0.617580229729478
126,0.6510568982186427
127,0.43295810873585233
129,0.7902142310210153
131,0.8772845310583106
132,0.8850311724943198
135,0.4864606141623847
136,0.316624254370544
138,0.39704977986709955
139,0.6114872302019355
140,0.510080582306625
143,0.7011451785817381
144,0.14734205639436265
145,0.5684137787241792
146,0.48399853018445693
147,0.8874228131945223
150,0.45399681108601814
155,0.6126305337686723
159,0.6204630136871241
160,0.530241882326651
162,0.7416396168256296
166,0.5314751162401331
168,0.24082621423687398
170,0.5037475055712579
172,0.5181048893592214
174,0.6433337552287803
180,0.2611607696037854
181,0.40652145993044697
182,0.42755780574247576
183,0.19003198818127717
184,0.5948883536306798
185,0.7349708778339136
186,0.38809520222901583
188,0.38850610869482527
189,0.696395644141585
192,0.3058610536111816
193,0.5592478008041983
195,0.2886096183334133
197,0.8572685031998089
201,0.5516337324851511
202,0.6402373506330155
203,0.22132431780574743
206,0.5740552317728277
208,0.9051332215592637
212,0.3730223817347111
215,0.49960738635538277
218,0.3600460451414993
220,0.5684076366208963
221,0.16185664625572943
222,0.3539281098924296
223,0.36197315506341265
224,0.24294987344941846
228,0.7293803081391468
229,0.41089164097260217
231,0.6116274780984693
232,0.5607796485791463
235,0.8015252378169443
240,0.7900293451019896
242,0.4245126332356906
247,0.327943935541346
249,0.6172853869633708
251,0.2816305800914498
252,0.7010945740683169
253,0.11305383304550917
254,0.6920769815448393
255,0.7970425769988707
260,0.8215527356165481
262,0.17653753096811725
263,0.33988299949060713
264,0.6756328958165759
265,0.4507209778491904
266,0.7568800727100199
268,0.09518733658347418
270,0.3604195928994063
274,0.7086471041069297
275,0.10060050353193509
278,0.45029186233415625
282,0.5783533200018579
283,0.5639380261656741
289,0.48600413804818793
290,0.35213938126697725
292,0.6555252824321854
297,0.21712231166738494
298,0.3002210902043372
300,0.4287862508657877
302,0.5044244477048919
303,0.6253097593481063
305,0.7381343011958679
306,0.5685052757231762
309,0.08581522983550863
310,0.44551936432907024
311,0.44922167431511517
312,0.6898415218959902
316,0.6336535320441372
317,0.23239043723288297
318,0.5612514141739561
319,0.2782113850426215
322,0.15355787047647818
325,0.39774648763754517
327,0.6316247933545576
328,0.14316293719424794
330,0.7647326034606176
331,0.38830856224816657
332,0.2107228905142467
333,0.6775103028086054
334,0.34083123114484776
335,0.4944993170417239
336,0.7336948795260626
338,0.7340904427457234
340,0.3394522099839734
341,0.30779197476608183
342,0.7398438832937396
345,0.5251540919449346
348,0.4114510511082734
350,0.4160712208046681
351,0.7003044800625264
353,0.710045020802474
358,0.6189717030125197
359,0.39658869205531233
360,0.48862575428254007
365,0.5743295899953904
368,0.45007592248616174
369,0.687129210278962
370,0.7875409195472187
371,0.23218100198258923
372,0.6390829285401383
374,0.4428605952966132
377,0.7862360458640053
379,0.7669809131131926
380,0.18783945523625806
382,0.40193213060950056
383,0.666283623151776
386,0.4588687527327339
388,0.7617358475911608
390,0.4244423202823289
391,0.5057659336673519
393,0.7783960629663873
394,0.41939306720019004
395,0.510030066636562
399,0.40361408458902037
400,0.6891796364370482
402,0.369457915658107
404,0.4931627570719019
405,0.6830400020091542
408,0.24023160922186956
409,0.7771536024942945
412,0.6120951088996877
413,0.580595279596366
417,0.8680451548844541
420,0.4398799934748438
421,0.6086619635605379
422,0.5689172297493209
423,0.5399743720192254
425,0.43004399904178664
428,0.5329818687758121
435,0.5470428941724557
440,0.1992461718843641
